date,hashtag,frequency
2026-05-07,#bitcoin,1
2026-05-12,#bitcoin,1
2026-05-14,#btc80k,1
2026-05-14,#fiatcollapse,1
2026-05-14,#goldrally,1
2026-05-16,#altcoinler,1
2026-05-16,#bitcoin,1
2026-05-17,#bitcoin,1
2026-05-18,#bist100,1
2026-05-18,#bitcoin,8
2026-05-18,#btc,1
2026-05-18,#iran,1
2026-05-18,#sol,1
2026-05-18,#solana,1
2026-05-19,#005,1
2026-05-19,#altcoins,1
2026-05-19,#binancepizza,2
2026-05-19,#bitcoin,15
2026-05-19,#bitcoinpizzaday,1
2026-05-19,#btc,2
2026-05-19,#crypto,4
2026-05-19,#digitalgold,1
2026-05-19,#finance,1
2026-05-19,#krypto,1
2026-05-19,#pizzawithbitget,1
2026-05-19,#ripple,1
2026-05-19,#safepalmastercard,1
2026-05-19,#xrp,1
