user,degree,in_degree,out_degree,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality
MilkRoad,4,0,4,0.02531645569620253,0.0,0.02531645569620253,0.0
natbrunell,3,0,3,0.0189873417721519,0.0,0.0189873417721519,0.0
saylor,3,1,2,0.0189873417721519,0.006329113924050633,0.012658227848101266,8.062565508344755e-05
hollandgold,2,0,2,0.012658227848101266,0.0,0.012658227848101266,0.0
KevinWSHPod,2,0,2,0.012658227848101266,0.0,0.012658227848101266,0.0
op_catlayer,2,0,2,0.012658227848101266,0.0,0.012658227848101266,0.0
Grok,2,2,0,0.012658227848101266,0.012658227848101266,0.0,0.0
MARAFoundation_,2,0,2,0.012658227848101266,0.0,0.012658227848101266,0.0
Solpok21,2,0,2,0.012658227848101266,0.0,0.012658227848101266,0.0
GoedWeerGeniete,1,1,0,0.006329113924050633,0.006329113924050633,0.0,0.0
TheBlockRunner,1,0,1,0.006329113924050633,0.0,0.006329113924050633,0.0
LukeGromen,1,1,0,0.006329113924050633,0.006329113924050633,0.0,0.0
TheBitcoinTime,1,1,0,0.006329113924050633,0.006329113924050633,0.0,0.0
matthew_sigel,1,1,0,0.006329113924050633,0.006329113924050633,0.0,0.0
BTCtreasuries,1,0,1,0.006329113924050633,0.0,0.006329113924050633,0.0
elaineyang73,1,1,0,0.006329113924050633,0.006329113924050633,0.0,0.0
TylerDurden,1,0,1,0.006329113924050633,0.0,0.006329113924050633,0.0
CryptoXAiMan,1,0,1,0.006329113924050633,0.0,0.006329113924050633,0.0
ArchaxEx,1,1,0,0.006329113924050633,0.006329113924050633,0.0,0.0
F2Pool,1,1,0,0.006329113924050633,0.006329113924050633,0.0,0.0
DrWhaleReal,1,0,1,0.006329113924050633,0.0,0.006329113924050633,0.0
NoLimitGains,1,0,1,0.006329113924050633,0.0,0.006329113924050633,0.0
TheBTCTherapist,1,0,1,0.006329113924050633,0.0,0.006329113924050633,0.0
fgthiel,1,1,0,0.006329113924050633,0.006329113924050633,0.0,0.0
MattCrosbyPro,1,1,0,0.006329113924050633,0.006329113924050633,0.0,0.0
ctindale,1,1,0,0.006329113924050633,0.006329113924050633,0.0,0.0
LgDoucet,1,1,0,0.006329113924050633,0.006329113924050633,0.0,0.0
BitcoinMagPro,1,1,0,0.006329113924050633,0.006329113924050633,0.0,0.0
MARA,1,1,0,0.006329113924050633,0.006329113924050633,0.0,0.0
jsblokland,1,1,0,0.006329113924050633,0.006329113924050633,0.0,0.0
grok,1,1,0,0.006329113924050633,0.006329113924050633,0.0,0.0
bruceonbitcoin,1,1,0,0.006329113924050633,0.006329113924050633,0.0,0.0
BitMEX,1,1,0,0.006329113924050633,0.006329113924050633,0.0,0.0
elonmusk,1,1,0,0.006329113924050633,0.006329113924050633,0.0,0.0
BinanceUS,1,1,0,0.006329113924050633,0.006329113924050633,0.0,0.0
BitcoinPulseX,1,0,1,0.006329113924050633,0.0,0.006329113924050633,0.0
davidlin_TV,1,1,0,0.006329113924050633,0.006329113924050633,0.0,0.0
BitcoinJesusETH,1,1,0,0.006329113924050633,0.006329113924050633,0.0,0.0
Strategy,1,1,0,0.006329113924050633,0.006329113924050633,0.0,0.0
injective,1,1,0,0.006329113924050633,0.006329113924050633,0.0,0.0
TheBonnieChang,1,1,0,0.006329113924050633,0.006329113924050633,0.0,0.0
cryptojack,0,0,0,0.0,0.0,0.0,0.0
BitcoinNewsCom,0,0,0,0.0,0.0,0.0,0.0
CryptoTony__,0,0,0,0.0,0.0,0.0,0.0
Gemini,0,0,0,0.0,0.0,0.0,0.0
CedYoungelman,0,0,0,0.0,0.0,0.0,0.0
RoundtableSpace,0,0,0,0.0,0.0,0.0,0.0
AltcoinDaily,0,0,0,0.0,0.0,0.0,0.0
MrWhale,0,0,0,0.0,0.0,0.0,0.0
Can_Sayan,0,0,0,0.0,0.0,0.0,0.0
donaldjdean,0,0,0,0.0,0.0,0.0,0.0
TrendingBitcoin,0,0,0,0.0,0.0,0.0,0.0
VoidReader_,0,0,0,0.0,0.0,0.0,0.0
saylordocs,0,0,0,0.0,0.0,0.0,0.0
KriptoQuennn,0,0,0,0.0,0.0,0.0,0.0
GaryCardone,0,0,0,0.0,0.0,0.0,0.0
JamesEastonUK,0,0,0,0.0,0.0,0.0,0.0
kay_drake_,0,0,0,0.0,0.0,0.0,0.0
shaguncrypto,0,0,0,0.0,0.0,0.0,0.0
rektcapital,0,0,0,0.0,0.0,0.0,0.0
RebellioMarket,0,0,0,0.0,0.0,0.0,0.0
liz_churchill10,0,0,0,0.0,0.0,0.0,0.0
0xklarck,0,0,0,0.0,0.0,0.0,0.0
Smart_Money,0,0,0,0.0,0.0,0.0,0.0
benjamincowen,0,0,0,0.0,0.0,0.0,0.0
WhaleNoName,0,0,0,0.0,0.0,0.0,0.0
AdamBLiv,0,0,0,0.0,0.0,0.0,0.0
VadimStrizheus,0,0,0,0.0,0.0,0.0,0.0
Hodl_fm,0,0,0,0.0,0.0,0.0,0.0
Danainhawaii,0,0,0,0.0,0.0,0.0,0.0
SimplyBitcoin,0,0,0,0.0,0.0,0.0,0.0
WWBitcoin,0,0,0,0.0,0.0,0.0,0.0
Xaif_Crypto,0,0,0,0.0,0.0,0.0,0.0
ColeTU,0,0,0,0.0,0.0,0.0,0.0
AlexesNakamoto,0,0,0,0.0,0.0,0.0,0.0
carm1nee,0,0,0,0.0,0.0,0.0,0.0
BitcoinSapiens,0,0,0,0.0,0.0,0.0,0.0
WOLF_Bitcoin_,0,0,0,0.0,0.0,0.0,0.0
bitcoinmalaya,0,0,0,0.0,0.0,0.0,0.0
SafePal,0,0,0,0.0,0.0,0.0,0.0
bogdanoff_CTO,0,0,0,0.0,0.0,0.0,0.0
TheMoneyApe,0,0,0,0.0,0.0,0.0,0.0
LLuciano_BTC,0,0,0,0.0,0.0,0.0,0.0
BSCNews,0,0,0,0.0,0.0,0.0,0.0
Alaouicapital,0,0,0,0.0,0.0,0.0,0.0
roxom,0,0,0,0.0,0.0,0.0,0.0
CryptoMichNL,0,0,0,0.0,0.0,0.0,0.0
aisarcore,0,0,0,0.0,0.0,0.0,0.0
0xChiefy,0,0,0,0.0,0.0,0.0,0.0
Eljaboom,0,0,0,0.0,0.0,0.0,0.0
BitcoinArchive,0,0,0,0.0,0.0,0.0,0.0
lynk0x,0,0,0,0.0,0.0,0.0,0.0
Bitcoin_Teddy,0,0,0,0.0,0.0,0.0,0.0
0xileri,0,0,0,0.0,0.0,0.0,0.0
pete_rizzo_,0,0,0,0.0,0.0,0.0,0.0
gabrielhaines,0,0,0,0.0,0.0,0.0,0.0
GordonGekko,0,0,0,0.0,0.0,0.0,0.0
cieloeterno11,0,0,0,0.0,0.0,0.0,0.0
Cryptoze,0,0,0,0.0,0.0,0.0,0.0
BitbullTrading,0,0,0,0.0,0.0,0.0,0.0
Simba_crpt,0,0,0,0.0,0.0,0.0,0.0
BitcoinMagazine,0,0,0,0.0,0.0,0.0,0.0
polysuccubus,0,0,0,0.0,0.0,0.0,0.0
BiconomyCom,0,0,0,0.0,0.0,0.0,0.0
binance,0,0,0,0.0,0.0,0.0,0.0
YahooFinance,0,0,0,0.0,0.0,0.0,0.0
bitgetvietnam,0,0,0,0.0,0.0,0.0,0.0
GrizMeta,0,0,0,0.0,0.0,0.0,0.0
ridark_eth,0,0,0,0.0,0.0,0.0,0.0
isabellasg3,0,0,0,0.0,0.0,0.0,0.0
SeffafNet,0,0,0,0.0,0.0,0.0,0.0
AltCryptoGems,0,0,0,0.0,0.0,0.0,0.0
voided,0,0,0,0.0,0.0,0.0,0.0
CryptoNobler,0,0,0,0.0,0.0,0.0,0.0
CryptocapoOO,0,0,0,0.0,0.0,0.0,0.0
MerlijnTrader,0,0,0,0.0,0.0,0.0,0.0
BladeDefi,0,0,0,0.0,0.0,0.0,0.0
TedPillows,0,0,0,0.0,0.0,0.0,0.0
Cryptoemperor06,0,0,0,0.0,0.0,0.0,0.0
FinanceFreeman,0,0,0,0.0,0.0,0.0,0.0
BitcoinIntelX,0,0,0,0.0,0.0,0.0,0.0
Bitcoinprof0637,0,0,0,0.0,0.0,0.0,0.0
AndreaCapellin4,0,0,0,0.0,0.0,0.0,0.0
Bitcoin,0,0,0,0.0,0.0,0.0,0.0
BTCPrice,0,0,0,0.0,0.0,0.0,0.0
CrisReed,0,0,0,0.0,0.0,0.0,0.0
cryptorover,0,0,0,0.0,0.0,0.0,0.0
Sonika_KK,0,0,0,0.0,0.0,0.0,0.0
cryptogems555,0,0,0,0.0,0.0,0.0,0.0
seth_fin,0,0,0,0.0,0.0,0.0,0.0
Vivek4real_,0,0,0,0.0,0.0,0.0,0.0
BitmundFreud,0,0,0,0.0,0.0,0.0,0.0
kriptoselcukk,0,0,0,0.0,0.0,0.0,0.0
TheMoonCarl,0,0,0,0.0,0.0,0.0,0.0
chartexpt,0,0,0,0.0,0.0,0.0,0.0
Danny_Crypton,0,0,0,0.0,0.0,0.0,0.0
zenkaixbt,0,0,0,0.0,0.0,0.0,0.0
thinkitcrypto,0,0,0,0.0,0.0,0.0,0.0
MartiniGuyYT,0,0,0,0.0,0.0,0.0,0.0
CryptosR_Us,0,0,0,0.0,0.0,0.0,0.0
TheFoxView,0,0,0,0.0,0.0,0.0,0.0
crypto_king34,0,0,0,0.0,0.0,0.0,0.0
0xPepesso,0,0,0,0.0,0.0,0.0,0.0
cryptofergani,0,0,0,0.0,0.0,0.0,0.0
cryptogoos,0,0,0,0.0,0.0,0.0,0.0
MacroAlphaHQ,0,0,0,0.0,0.0,0.0,0.0
CryptoTice_,0,0,0,0.0,0.0,0.0,0.0
AlexMasonCrypto,0,0,0,0.0,0.0,0.0,0.0
Web3Marmot,0,0,0,0.0,0.0,0.0,0.0
DeFiTracer,0,0,0,0.0,0.0,0.0,0.0
kabukistory,0,0,0,0.0,0.0,0.0,0.0
0xNonceSense,0,0,0,0.0,0.0,0.0,0.0
ourbit,0,0,0,0.0,0.0,0.0,0.0
Stacks,0,0,0,0.0,0.0,0.0,0.0
CryptoPatel,0,0,0,0.0,0.0,0.0,0.0
_Qubic_,0,0,0,0.0,0.0,0.0,0.0
Bitcoinblacck,0,0,0,0.0,0.0,0.0,0.0
KryptoWolfGER,0,0,0,0.0,0.0,0.0,0.0
createdbyjami,0,0,0,0.0,0.0,0.0,0.0
